id,Enrollment_date,Age,Education,Marital_status,Kids_at_home,Recency,Purchases_Fruit,Purchases_Meat,Purchases_Fish,Purchases_Wine,Purchases_Vegetables,Num_purchases_Store,Num_purchases_Catalog,Num_purchases_Web,Num_web_visits_last_month
66,2013-08-12,44,Bachelor,Single,0,70,0,72,0,1121,12,4,2,2,0
67,2014-04-18,44,HighSchool,Single,0,10,1,13,7,31,2,8,3,5,0
68,2013-03-27,34,Bachelor,Single,0,25,16,144,28,349,5,5,0,14,1
69,2013-07-16,64,Bachelor,Married,0,33,0,7,3,11,1,6,8,0,0
70,2013-01-04,57,Doctorate,Single,0,80,27,103,106,152,54,2,6,0,0
71,2013-08-01,37,Bachelor,Single,0,71,11,24,13,13,8,7,2,4,1
72,2013-12-12,33,Basic,Married,1,2,11,26,4,67,3,1,0,7,3
73,2014-06-15,54,Bachelor,Divorced,1,0,5,64,7,464,0,4,2,2,0
74,2012-10-12,42,Bachelor,Married,2,47,2,27,0,43,9,9,3,6,0
75,2013-01-13,65,HighSchool,Divorced,0,33,14,83,6,373,9,1,5,0,0
76,2013-05-01,32,Bachelor,Married,0,71,44,935,29,979,25,3,0,10,1
77,2012-12-16,56,Bachelor,Single,0,49,138,65,60,382,26,2,6,0,0
78,2014-03-08,25,HighSchool,Single,0,98,4,10,6,8,7,7,0,19,7
79,2012-09-10,59,Bachelor,Divorced,0,38,19,288,25,158,0,8,9,1,0
80,2013-04-22,37,Bachelor,Married,1,65,2,6,2,7,0,7,2,4,0
81,2013-09-18,43,HighSchool,Married,0,6,0,16,0,68,0,15,4,9,3
82,2013-05-31,26,HighSchool,Single,0,26,2,42,20,36,21,5,0,14,6
83,2014-05-07,65,Basic,Married,0,48,4,32,17,67,2,9,10,1,0
84,2013-05-10,35,Bachelor,Single,0,96,2,15,0,8,10,13,4,8,2
85,2012-12-10,37,Bachelor,Single,0,15,5,24,4,56,0,5,2,3,1
86,2013-12-29,56,Basic,Married,0,71,5,3,10,21,1,3,6,0,0
87,2012-12-12,46,Bachelor,Single,1,8,57,100,71,73,15,11,3,7,2
88,2013-10-20,48,HighSchool,Single,0,54,0,16,6,9,6,7,2,4,0
89,2013-06-10,53,Bachelor,Married,2,3,1,44,6,62,5,12,3,7,1
90,2012-11-11,49,Bachelor,Single,0,45,12,253,16,977,12,10,3,6,2
91,2013-07-16,45,Master,Married,0,48,0,16,0,130,0,8,3,5,1
92,2014-02-07,39,Master,Single,0,82,6,21,11,34,4,5,2,3,1
93,2013-05-15,47,Doctorate,Single,0,89,23,82,33,51,0,5,2,3,0
94,2013-10-08,67,Bachelor,Married,0,52,15,69,15,269,19,0,4,0,0
95,2013-01-26,43,Bachelor,Married,1,73,44,603,95,707,58,7,2,4,1
96,2013-02-04,38,HighSchool,Married,0,46,8,158,21,652,0,13,4,8,1
97,2012-08-21,46,Bachelor,Married,0,65,0,92,28,404,27,5,2,3,0
98,2012-11-09,33,HighSchool,Divorced,0,10,25,459,124,823,29,5,0,14,2
99,2012-08-09,32,Master,Married,1,13,185,687,145,817,55,5,0,14,2
100,2012-11-17,64,HighSchool,Single,0,84,1,13,3,68,5,13,13,1,0
101,2012-10-29,46,HighSchool,Married,0,57,28,183,220,960,70,7,2,5,1
102,2014-04-24,48,HighSchool,Married,2,33,16,223,21,245,43,4,2,2,0
103,2014-04-11,27,Bachelor,Married,0,93,11,25,29,30,1,5,0,15,7
104,2013-03-17,48,Bachelor,Married,3,21,14,590,38,796,44,13,4,8,3
105,2012-11-10,24,Bachelor,Married,0,40,17,311,23,1332,51,5,0,14,1
106,2012-08-06,46,Bachelor,Single,0,37,10,83,7,63,19,10,3,6,0
107,2013-03-30,60,HighSchool,Married,0,1,0,204,38,1200,29,6,8,0,0
108,2014-03-02,54,HighSchool,Divorced,0,78,1,21,2,12,2,10,3,7,2
109,2014-05-18,29,HighSchool,Married,1,82,99,431,237,812,149,2,0,9,2
110,2014-03-10,60,HighSchool,Single,0,25,0,70,0,626,7,5,8,0,0
111,2013-05-19,40,Bachelor,Single,0,85,1,4,3,2,1,5,2,3,0
112,2012-11-23,37,Master,Married,0,31,0,6,4,9,1,6,2,4,1
113,2012-09-14,59,Bachelor,Single,0,0,0,171,8,454,19,3,6,0,0
114,2013-05-18,46,Bachelor,Divorced,0,52,42,48,94,375,66,7,2,4,1
115,2014-02-17,55,Bachelor,Married,0,23,19,711,125,1000,115,0,4,0,0
116,2012-07-30,45,HighSchool,Single,0,72,0,87,4,293,11,9,3,6,1
117,2013-06-29,29,Bachelor,Single,0,86,0,11,2,23,1,5,0,13,4
118,2013-03-28,66,Doctorate,Married,0,91,80,498,0,1012,16,8,9,0,0
119,2013-09-16,52,Basic,Married,3,86,7,99,10,625,22,4,2,2,0
120,2013-06-04,41,HighSchool,Single,0,26,68,103,29,1076,91,9,3,6,1
121,2013-08-06,38,Bachelor,Married,0,79,43,735,40,908,194,6,2,4,0
122,2013-12-02,65,Bachelor,Divorced,0,78,47,573,52,255,32,0,4,0,0
123,2014-04-05,59,Bachelor,Married,1,12,68,569,89,387,45,7,9,0,0
124,2014-03-26,20,HighSchool,Single,0,65,2,11,2,4,0,3,0,9,1
125,2014-05-30,44,Bachelor,Divorced,1,1,7,80,13,155,7,3,1,2,0
126,2012-09-08,44,Bachelor,Married,0,35,71,153,120,595,112,10,3,7,1
127,2013-02-16,66,Basic,Divorced,0,82,22,780,145,1315,0,0,2,0,0
128,2013-05-01,34,Bachelor,Single,0,27,44,107,58,1001,44,1,0,5,0
129,2013-09-28,33,Bachelor,Divorced,0,15,35,106,101,402,77,3,0,10,4
130,2014-03-01,31,Master,Married,2,23,0,5,13,3,0,0,0,5,0
131,2013-03-10,68,HighSchool,Married,1,73,105,758,0,1200,42,4,7,0,0
132,2012-12-01,40,Doctorate,Married,1,63,0,142,12,789,9,9,3,6,2
133,2013-04-15,24,HighSchool,Married,1,17,22,132,59,412,28,4,0,11,1
134,2013-06-21,23,Basic,Single,0,71,4,66,3,34,10,7,0,18,2
135,2013-04-25,47,HighSchool,Divorced,0,1,0,189,97,378,172,9,3,6,2
136,2014-04-05,26,HighSchool,Single,0,28,0,297,0,800,34,3,0,11,3
137,2013-10-09,28,Bachelor,Single,0,1,21,449,106,1285,20,4,0,12,3
138,2012-10-19,23,Bachelor,Married,0,46,61,921,52,962,61,5,0,14,2
139,2013-04-21,31,HighSchool,Single,0,37,133,951,173,450,0,0,0,3,1
140,2012-08-25,36,Bachelor,Divorced,1,30,0,396,232,1230,178,6,2,4,1
141,2013-11-01,41,Master,Divorced,2,46,4,17,7,35,6,9,3,5,0
142,2012-08-22,47,HighSchool,Single,0,34,9,37,12,28,7,8,3,5,2
143,2014-03-08,50,Basic,Married,1,33,26,255,35,173,71,9,3,6,1
144,2013-10-20,51,Bachelor,Married,0,93,17,68,8,238,10,12,3,8,1
145,2013-12-01,38,Bachelor,Divorced,2,36,0,12,3,38,1,5,2,3,0
146,2014-02-24,37,Basic,Single,0,53,3,10,11,19,8,10,3,6,2
147,2013-01-20,53,Bachelor,Married,3,33,3,60,12,219,9,8,3,5,1
148,2014-06-27,50,Bachelor,Divorced,2,39,58,68,16,48,66,14,4,9,1
149,2014-03-05,68,Master,Married,0,85,11,400,15,675,45,9,10,1,0
150,2014-01-11,49,HighSchool,Divorced,1,14,0,53,6,383,4,9,3,6,1
151,2014-02-18,26,Basic,Married,0,70,63,282,137,218,35,4,0,12,5
152,2014-05-10,59,HighSchool,Single,0,72,19,110,16,492,12,4,7,0,0
153,2013-10-28,48,Basic,Divorced,0,28,0,8,2,25,0,15,4,10,1
154,2013-12-29,51,Bachelor,Single,0,87,190,537,61,398,156,12,3,8,2
155,2014-03-31,56,Bachelor,Married,0,6,73,380,114,835,73,8,9,0,0
156,2014-05-09,43,Bachelor,Divorced,0,67,3,4,2,20,0,12,4,8,1
157,2013-03-03,46,Bachelor,Married,2,72,8,167,11,689,8,14,4,9,1
158,2013-03-22,58,HighSchool,Married,0,56,2,43,0,198,12,4,7,0,0
159,2013-06-08,57,Master,Divorced,0,21,16,165,0,620,24,5,7,0,0
160,2013-10-28,49,Bachelor,Married,0,38,20,514,13,452,30,8,3,5,1
161,2013-11-21,54,Bachelor,Married,0,10,28,873,29,464,18,5,2,3,0
162,2012-08-17,34,Bachelor,Single,0,57,3,31,2,31,8,3,0,10,4
163,2013-04-07,40,Bachelor,Married,0,18,23,73,4,261,23,14,4,9,3
164,2013-12-30,42,Basic,Single,0,60,7,19,0,19,1,7,2,4,0
165,2013-02-28,43,HighSchool,Single,0,40,7,11,16,2,12,8,3,5,1
166,2014-06-25,35,HighSchool,Married,0,47,12,84,13,97,10,13,4,9,2
167,2013-09-22,66,Basic,Married,0,60,0,253,199,161,191,7,8,0,0
168,2012-08-31,27,Bachelor,Single,0,43,7,5,2,2,15,1,0,7,3
169,2012-10-10,28,Bachelor,Single,0,38,14,17,6,3,1,4,0,13,3
170,2013-02-18,63,Bachelor,Married,1,26,7,134,37,523,14,8,9,1,0
171,2014-02-25,47,Bachelor,Married,0,80,35,113,0,554,7,4,2,2,0
172,2014-06-04,32,Bachelor,Single,0,53,0,3,0,6,0,6,0,16,3
173,2012-12-03,49,Bachelor,Divorced,0,23,114,279,82,736,76,5,2,3,0
174,2013-05-15,44,Bachelor,Married,2,32,7,7,6,4,4,8,3,5,1
175,2013-09-06,44,Master,Married,0,81,47,237,12,637,19,11,3,7,2
176,2012-10-12,39,Bachelor,Married,0,40,105,779,137,1032,105,4,2,2,0
177,2014-06-25,52,Bachelor,Married,1,33,12,12,0,21,3,10,3,6,0
178,2014-04-24,48,Master,Single,0,33,16,223,21,245,43,1,1,0,0
179,2012-09-04,57,Doctorate,Single,0,79,10,205,160,543,143,7,9,0,0
180,2014-05-22,41,Bachelor,Married,0,26,1,5,0,1,3,6,2,3,0
181,2014-05-22,26,Master,Married,0,34,4,10,2,8,2,3,0,10,2
182,2013-09-11,42,Bachelor,Single,0,60,0,264,120,713,80,5,2,3,1
183,2013-08-03,45,Bachelor,Married,1,27,4,13,15,7,8,8,3,5,1
184,2012-08-01,30,Bachelor,Married,1,98,17,17,13,5,14,7,0,18,4
185,2012-08-01,58,Bachelor,Married,0,61,80,363,52,833,26,2,6,0,0
186,2013-02-28,46,Bachelor,Married,0,20,178,689,41,778,27,12,3,8,3
187,2014-04-11,51,Bachelor,Single,0,22,19,69,12,397,0,10,3,6,2
188,2013-10-19,36,Bachelor,Married,0,81,3,15,2,16,1,10,3,6,1
189,2013-08-02,30,Basic,Married,0,94,4,8,2,5,0,9,0,22,6
190,2013-03-22,43,HighSchool,Married,1,87,53,178,23,623,17,9,3,6,0
191,2013-10-13,41,HighSchool,Married,0,48,0,6,0,210,0,11,3,7,3
192,2013-08-08,43,Bachelor,Single,0,43,10,13,3,7,11,4,2,2,0
193,2012-12-04,37,Bachelor,Married,0,38,6,15,11,5,7,7,2,4,1
194,2012-09-25,45,Bachelor,Married,0,98,89,650,16,433,102,1,1,0,0
195,2013-11-17,56,Bachelor,Single,0,29,35,75,63,230,57,4,7,0,0
196,2014-01-07,47,Bachelor,Married,0,36,48,231,112,491,105,8,3,5,0
197,2012-12-06,47,Bachelor,Single,0,10,153,293,72,797,97,11,3,7,0
198,2013-01-05,65,HighSchool,Single,0,29,17,143,0,724,8,7,9,0,0
199,2013-04-03,39,HighSchool,Married,0,70,6,51,8,266,6,7,2,4,0
200,2014-03-23,43,Bachelor,Married,0,69,2,10,0,15,1,6,2,4,1
201,2012-11-07,55,HighSchool,Divorced,0,32,6,23,13,293,6,0,2,0,0
202,2013-10-16,63,Master,Married,1,23,6,7,0,13,3,12,12,1,0
203,2012-08-01,39,HighSchool,Married,1,19,0,12,13,7,7,6,2,4,0
204,2013-07-11,54,Bachelor,Single,0,23,0,27,10,352,0,11,3,7,1
205,2013-04-22,55,HighSchool,Married,0,13,86,537,34,779,69,0,4,0,0
206,2013-11-29,40,Bachelor,Married,1,36,6,71,4,254,0,12,4,8,2
207,2012-10-10,45,Basic,Single,0,31,0,5,2,110,0,10,3,6,1
208,2014-06-25,46,Bachelor,Single,1,3,81,356,106,458,50,7,2,4,0
209,2012-10-29,63,HighSchool,Married,0,70,33,332,21,1245,33,7,8,0,0
210,2012-12-30,26,HighSchool,Married,0,13,4,14,4,10,4,6,0,16,1
211,2014-04-03,55,HighSchool,Married,0,16,6,37,6,162,13,1,5,0,0
212,2013-10-12,53,Basic,Married,1,15,0,13,3,71,1,10,3,6,0
213,2013-08-31,61,Master,Divorced,0,24,4,33,0,182,0,0,3,0,0
214,2013-01-19,64,Basic,Divorced,0,62,23,29,29,28,14,4,7,0,0
215,2014-03-12,39,HighSchool,Single,0,89,2,4,2,7,1,1,1,0,0
216,2012-12-19,37,HighSchool,Single,0,17,3,31,4,76,4,7,2,4,1
217,2014-04-06,55,Basic,Married,0,55,2,14,8,13,7,5,7,0,0
218,2014-01-14,33,HighSchool,Married,0,23,0,69,0,1074,0,0,0,4,0
219,2014-03-01,61,Master,Single,0,76,12,48,4,104,12,8,9,1,0
220,2013-03-31,59,Bachelor,Married,0,11,24,68,65,72,4,5,7,0,0
221,2013-02-20,39,Master,Married,0,27,42,24,15,18,20,7,2,4,1
222,2013-12-30,40,HighSchool,Single,0,26,0,35,4,347,3,10,3,7,1
223,2013-05-18,48,Bachelor,Single,0,18,140,599,34,267,12,11,3,7,2
224,2012-10-29,60,Bachelor,Divorced,1,7,2,56,0,194,0,0,4,0,0
225,2013-01-16,56,Bachelor,Married,0,64,8,104,6,313,4,0,4,0,0
226,2013-08-29,66,Bachelor,Married,0,85,1,2,1,2,1,8,9,1,0
227,2013-08-23,45,Bachelor,Single,0,48,4,17,10,9,2,6,2,4,1
228,2014-04-18,44,Bachelor,Married,2,20,0,11,0,30,0,7,2,4,1
229,2014-06-02,60,HighSchool,Married,0,46,0,16,0,51,0,4,7,0,0
230,2012-10-16,54,Doctorate,Divorced,1,48,21,118,13,918,10,5,2,3,1
231,2012-09-01,46,Bachelor,Married,0,99,24,553,188,169,0,16,4,10,1
232,2013-12-18,60,Bachelor,Married,1,79,1,11,0,26,1,7,8,0,0
233,2013-10-14,37,Basic,Single,0,63,43,337,42,587,87,6,2,3,0
234,2014-05-04,22,HighSchool,Married,1,66,152,335,93,375,91,8,0,19,3
235,2014-03-02,43,Bachelor,Single,0,17,1,13,0,25,0,9,3,5,2
236,2013-07-30,59,Basic,Divorced,0,2,7,115,30,622,0,4,7,0,0
237,2013-08-20,39,Bachelor,Married,0,10,1,7,0,9,3,11,3,7,2
238,2013-07-24,61,Bachelor,Married,0,92,3,180,20,188,3,9,10,1,0
239,2014-05-23,53,HighSchool,Married,2,85,30,415,63,292,33,6,2,4,1
240,2014-01-24,45,Bachelor,Married,0,25,99,812,151,547,82,7,2,4,1
241,2014-04-13,65,Bachelor,Married,0,71,2,25,0,30,1,5,8,0,0
242,2013-02-09,42,Bachelor,Single,0,73,3,20,4,35,1,9,3,5,1
243,2013-03-21,32,Bachelor,Married,1,67,3,19,3,18,3,7,0,19,6
244,2014-05-12,42,Master,Married,0,70,60,568,110,350,133,11,3,7,2
245,2013-01-22,52,Bachelor,Single,0,30,15,186,151,420,38,8,3,5,2
246,2013-07-22,43,Master,Single,0,37,51,154,54,771,10,11,3,7,1
247,2012-08-16,50,Bachelor,Divorced,0,55,10,107,30,112,0,6,2,3,1
248,2013-10-28,28,HighSchool,Single,0,68,1,54,7,112,7,2,0,8,1
249,2014-05-02,39,HighSchool,Married,0,47,0,9,0,18,1,5,2,3,0
250,2014-05-12,40,Bachelor,Single,0,49,81,86,168,151,91,1,1,0,0
251,2014-03-06,64,HighSchool,Married,0,86,42,127,28,335,5,10,10,1,0
252,2013-11-07,44,Bachelor,Single,0,76,16,37,7,111,9,11,3,7,1
253,2013-10-12,59,Bachelor,Married,0,44,14,154,19,513,0,6,8,0,0
254,2013-12-04,33,Bachelor,Married,0,46,0,4,0,18,0,3,0,11,5
255,2013-08-16,24,HighSchool,Married,0,48,2,64,38,179,17,1,0,6,1
256,2014-04-27,29,HighSchool,Single,0,1,42,706,73,423,197,6,0,16,3
257,2014-01-30,56,Bachelor,Married,0,17,0,6,0,81,0,10,11,1,0
258,2014-01-25,47,Bachelor,Divorced,1,20,0,18,0,279,0,16,4,10,1
259,2013-09-12,37,Basic,Single,0,98,11,59,23,508,5,8,3,5,0
260,2012-09-17,43,Bachelor,Married,0,4,32,849,229,496,48,8,3,5,0
261,2012-11-09,39,Bachelor,Single,0,50,53,221,58,407,150,7,2,4,1
262,2013-07-02,39,Bachelor,Married,1,39,2,28,3,21,2,7,2,4,1
263,2013-05-26,43,HighSchool,Single,0,78,120,204,16,138,126,5,2,3,1
264,2013-03-06,59,HighSchool,Divorced,0,26,2,25,4,39,3,10,11,1,0
265,2012-12-05,32,HighSchool,Married,0,45,1,18,10,10,4,4,0,11,1
266,2013-02-21,44,HighSchool,Married,0,63,1,7,0,23,4,3,2,2,0
267,2013-12-02,44,HighSchool,Married,1,37,1,5,10,5,0,8,3,5,1
268,2013-09-26,35,Master,Married,2,95,4,13,0,15,0,8,3,5,2
269,2013-03-06,62,Master,Married,0,86,0,3,0,13,0,7,9,0,0
270,2012-08-08,52,Bachelor,Married,1,49,0,16,0,132,0,4,2,2,0
271,2013-03-27,40,HighSchool,Married,2,47,76,384,84,563,192,8,3,5,1
272,2012-11-10,49,Bachelor,Married,0,92,51,936,207,342,35,7,2,4,1
273,2012-10-05,30,Bachelor,Married,0,68,44,534,17,347,0,7,0,18,3
274,2013-11-15,54,Bachelor,Married,3,2,0,4,0,28,0,6,2,3,1
275,2013-03-07,39,Bachelor,Married,0,99,18,126,47,372,48,14,4,9,1
276,2014-04-30,46,HighSchool,Married,0,22,0,6,0,15,1,6,2,3,0
277,2014-01-03,63,HighSchool,Single,0,54,9,12,2,30,11,7,9,0,0
278,2013-05-02,60,Bachelor,Divorced,0,71,16,322,43,430,24,3,7,0,0
279,2013-08-17,58,Bachelor,Married,0,64,10,689,84,291,10,3,6,0,0
280,2012-11-08,61,HighSchool,Single,0,39,50,317,50,826,38,8,9,1,0
281,2014-02-02,27,HighSchool,Single,0,27,137,400,45,434,137,3,0,11,2
282,2013-04-18,32,HighSchool,Divorced,0,32,0,86,10,275,23,8,0,20,9
283,2013-04-09,37,HighSchool,Married,1,98,2,11,2,44,3,15,4,10,3
284,2014-01-15,44,HighSchool,Married,1,76,3,22,21,8,1,6,2,4,0
285,2014-06-20,41,Bachelor,Married,1,24,38,350,111,217,85,5,2,3,0
286,2012-09-07,35,HighSchool,Single,0,29,2,11,41,2,7,7,2,4,0
287,2012-08-06,49,Bachelor,Divorced,2,11,3,37,4,70,2,8,3,5,1
288,2013-07-04,26,HighSchool,Married,2,56,4,13,8,5,0,4,0,13,1
289,2013-10-03,57,HighSchool,Married,0,92,8,66,17,350,4,6,8,0,0
290,2013-02-01,47,HighSchool,Single,0,72,4,12,8,43,0,7,2,5,2
291,2012-10-06,42,Master,Married,0,24,3,17,3,18,0,7,2,4,1
292,2013-11-23,51,Bachelor,Divorced,1,13,4,89,11,338,8,8,3,5,2
293,2012-09-08,50,Doctorate,Married,0,54,20,47,23,205,2,20,5,13,2
294,2013-12-06,38,Bachelor,Divorced,0,92,2,18,2,6,8,6,2,4,0
295,2013-12-19,48,Bachelor,Married,0,87,32,435,28,565,32,8,3,5,2
296,2012-12-24,59,Basic,Married,0,60,7,140,0,547,7,5,8,0,0
297,2013-04-02,49,Bachelor,Married,1,30,35,482,121,295,120,2,1,1,0
298,2013-07-25,57,Master,Married,0,34,19,181,12,743,0,6,8,0,0
299,2014-02-16,33,Bachelor,Married,0,56,42,144,55,261,48,8,0,21,8
300,2013-09-20,32,HighSchool,Divorced,0,24,39,54,64,88,28,2,0,9,3
301,2012-08-18,40,Bachelor,Divorced,0,86,0,27,0,57,0,2,1,1,0
302,2013-09-11,26,Bachelor,Single,0,46,2,15,8,40,0,4,0,11,3
303,2012-12-29,25,HighSchool,Single,0,6,36,21,20,16,62,6,0,17,3
304,2013-06-08,63,Bachelor,Married,0,54,53,462,168,376,53,2,5,0,0
305,2013-03-10,59,Basic,Single,0,3,22,202,39,154,30,0,1,0,0
306,2012-12-25,44,Master,Single,0,33,0,12,7,15,3,11,3,7,1
307,2014-04-08,41,Master,Married,0,42,0,510,99,471,21,5,2,3,1
308,2012-11-11,45,Bachelor,Married,2,2,17,26,20,3,1,5,2,3,0
309,2014-05-08,56,Bachelor,Divorced,2,35,76,690,50,217,26,3,6,0,0
310,2013-05-29,62,HighSchool,Married,0,95,0,134,13,359,26,1,5,0,0
311,2013-07-17,50,HighSchool,Divorced,0,8,83,88,32,279,14,10,3,6,2
312,2013-11-07,44,Master,Married,1,76,16,37,7,111,9,11,3,7,2
313,2012-11-05,70,Bachelor,Married,0,20,16,249,43,1349,16,6,8,0,0
314,2012-08-30,66,HighSchool,Married,0,56,0,11,2,70,8,5,8,0,0
315,2013-08-06,69,Bachelor,Married,0,14,1,2,4,3,3,2,6,0,0
316,2014-06-08,62,Bachelor,Divorced,1,51,0,16,0,70,0,8,9,0,0
317,2014-06-17,45,Bachelor,Single,0,85,2,62,24,167,13,8,3,5,1
318,2014-01-25,39,Bachelor,Single,0,41,142,218,164,294,58,12,3,7,1
319,2013-07-04,33,Bachelor,Married,0,12,26,538,69,712,13,6,0,16,2
320,2014-04-16,43,HighSchool,Single,1,83,1,8,0,31,0,9,3,6,1
321,2012-09-07,39,Basic,Married,1,21,19,364,25,507,47,6,2,3,0
322,2013-04-13,53,Bachelor,Married,0,88,25,265,25,317,19,5,2,3,1
323,2014-05-10,27,Bachelor,Married,1,77,11,10,3,12,12,3,0,11,4
324,2013-03-29,40,Bachelor,Single,0,46,1,2,2,11,1,14,4,9,1
325,2014-02-17,19,HighSchool,Single,0,81,0,2,3,0,3,5,0,13,2
326,2014-02-02,61,Master,Married,0,57,30,92,80,539,46,2,6,0,0
327,2013-05-12,63,Bachelor,Married,0,57,31,345,75,901,31,4,7,0,0
328,2012-08-19,63,HighSchool,Divorced,1,52,12,52,25,45,22,11,11,1,0
